nom,categorie,prix_eur,volume_L,degre_pct,ratio,image,url
Maucaillou 2022 - Haut-Médoc AOP - Rouge - 75 cl,vins-rouges,11.6,0.75,,,https://fgellaobb.filerobot.com/3760063160512_1,https://www.e.leclerc/pro/maucaillou-2022-haut-medoc-aop-rouge-75-cl
"Bouchard Ainé & Fils, 2023 - Bourgogne Pinot Noir AOP - Rouge - 75 cl",vins-rouges,11.2,0.75,,,https://media.e.leclerc/3340180001112_1,https://www.e.leclerc/pro/bouchard-aine-fils-2023-bourgogne-pinot-noir-aop-rouge-75-cl
"La Part Des Biches, 2023 - Cahors AOP - Rouge - 75 cl",vins-rouges,6.21,0.75,13.5,61.33,https://media.e.leclerc/3365810015017_1,https://www.e.leclerc/pro/la-part-des-biches-2023-cahors-aop-rouge-75-cl
"LES HAUTS DE VALMIRES, 2024 - Côtes du Rhône AOP - Rouge - 75 cl",vins-rouges,3.6,0.75,13.5,35.56,https://media.e.leclerc/3701433905593_1,https://www.e.leclerc/pro/les-hauts-de-valmires-2024-cotes-du-rhone-aop-rouge-75-cl
"Côte Chalonnaise, 2023 - Bourgogne Côte Chalonnaise AOC - Rouge - 75 cl",vins-rouges,9.99,0.75,,,https://media.e.leclerc/3463640078568_1,https://www.e.leclerc/pro/cote-chalonnaise-2023-bourgogne-cote-chalonnaise-aoc-rouge-75-cl
"Château Ksara ""Réserve du Couvent"" 2022 - Liban - Rouge - 75 cl",vins-rouges,10.2,0.75,13.5,100.74,https://fgellaobb.filerobot.com/5281022542944_1,https://www.e.leclerc/pro/chateau-ksara-reserve-du-couvent-2022-liban-rouge-75-cl
"Romain Duvernay, 2023 - Côtes du Rhône Villages Séguret AOP - Rouge - 75 cl",vins-rouges,,0.75,14.5,,https://fgellaobb.filerobot.com/3760256771105_1,https://www.e.leclerc/pro/romain-duvernay-2023-cotes-du-rhone-villages-seguret-aop-rouge-75-cl
"Joël Taluau, 2024 - Saint Nicolas de Bourgueil AOP - Rouge - 75 cl",vins-rouges,7.5,0.75,,,https://media.e.leclerc/3512242024012_1,https://www.e.leclerc/pro/joel-taluau-2024-saint-nicolas-de-bourgueil-aop-rouge-75-cl
"Domaine des Marrans, 2022 - Fleurie AOP - Rouge - 75 cl",vins-rouges,16.0,0.75,,,https://fgellaobb.filerobot.com/3569618608758_1,https://www.e.leclerc/pro/domaine-des-marrans-2022-fleurie-aop-rouge-75-cl
E.Guigal 2022 - Côtes du Rhône AOP - Rouge - 75 cl,vins-rouges,,0.75,,,https://fgellaobb.filerobot.com/3536650501002_1,https://www.e.leclerc/pro/e-guigal-2022-cotes-du-rhone-aop-rouge-75-cl
